model,step,train_loss,val_loss,val_bpc
char,0,4.7232,4.735,6.8311
char,500,2.2867,2.5058,3.6151
char,1000,1.9873,2.2552,3.2535
char,1500,1.849,2.1195,3.0577
char,2000,1.771,2.0153,2.9074
char,2500,1.7145,1.9519,2.8161
char,3000,1.6658,1.8842,2.7183
char,3500,1.6358,1.846,2.6633
char,4000,1.6008,1.7948,2.5893
char,4500,1.5764,1.7656,2.5472
char,5000,1.549,1.7289,2.4943
bpe,0,9.1582,9.1508,44.9742
bpe,500,5.5623,6.4419,31.6603
bpe,1000,5.1503,5.9514,29.2499
bpe,1500,4.8875,5.606,27.5523
bpe,2000,4.6797,5.3788,26.4357
bpe,2500,4.5686,5.2078,25.595
bpe,3000,4.4478,5.0978,25.0542
bpe,3500,4.3875,5.0181,24.6627
bpe,4000,4.3085,4.9179,24.1701
bpe,4500,4.2551,4.8665,23.9177
bpe,5000,4.1853,4.8138,23.6586
